ruc;razón_social;estado;condicion;latitud;longitud;tipo_empresa;locales;oportunidad;estado;oportunidad;
20156559092;ASOCIACION INGENIERIA PARA EL DESARROLLO;ACTIVO;HABIDO;-12.0781;-77.0625;;10; ; ;Decil 2;84
20419757331;COGORNO S.A. EN LIQUIDACION;ACTIVO;HABIDO;-12.0978;-77.0272;;10; ; ;Decil 2;85
20473372089;EMP.DE TRANSP. SANTA ROSA D.C. S.A.C.;ACTIVO;NO HABIDO;-12.0453;-77.0308;;10; ; ;Decil 2;86
20509247006;COORPORACION S.J.B. S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;10;Validado;Vigente;Decil 2;87
20147977698;COOP.DE SERVICIOS MULTIPLES MIGUEL GRAU;ACTIVO;NO HABIDO;-12.0922;-77.0794;;10; ; ;Decil 2;88
20502608798;LABORATORIO CLINICO INMUNOLOGICO CANTELLA S.A.C.;ACTIVO;HABIDO;-12.0978;-77.0272;PEQUEÑA EMPRESA;10; ; ;Decil 2;89
20471809374;DOLLAR GROUP SA;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;10; ; ;Decil 2;90
20509247006;COORPORACION S.J.B. S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;10;Validado;Vigente;Decil 2;91
20603768087;DISEÑOS CHAMBI S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;9;Validado;Vigente;Decil 2;92
20606718404;IMPORTACIONES YOKO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;93
20608856367;ATLANTIS INMOBILIARIA S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;94
20603709765;CORPORACION ORIMARC EIRL;ACTIVO;HABIDO;-12.0453;-77.0308;;9; ; ;Decil 2;95
20606463031;SSP CORPORACIONES S.A.C.;ACTIVO;HABIDO;-12.0589;-77.0461;;9; ; ;Decil 2;96
20604758531;LIMA BEAUTY DISTRIBUTORS SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;97
20608106520;7M DROGUERIAS PERUANAS S.A.C.;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;98
20608378759;JA PARAISO S.A.C.;ACTIVO;HABIDO;-11.9972;-77.0547;PEQUEÑA EMPRESA;9; ; ;Decil 2;99
20606227605;COINSO CONTRATISTAS GENERALES S.A.C.;ACTIVO;HABIDO;-12.0781;-76.9167;MEDIANA EMPRESA;9; ; ;Decil 2;100
20609442582;HENKO SECURITY SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.1217;-77.0292;;9; ; ;Decil 2;101
20609260999;2A TOP FOOD S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;102
20610711775;FAJIM E.I.R.L.;ACTIVO;HABIDO;-12.145;-77.005;;9; ; ;Decil 2;103
20603756950;DIAGNOSTICO MEDICO ESPECIALIZADO S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;104
20603720131;G&A TECNOLOGIAS S.A.C.;ACTIVO;HABIDO;-11.8903;-77.0269;PEQUEÑA EMPRESA;9; ; ;Decil 2;105
20603118295;KEBER PERU S.A.C.;ACTIVO;NO HABIDO;-12.6575;-76.6325;;9; ; ;Decil 2;106
20608564340;TRANSPORTES Y SERVICIOS INTERCARGO S.A.C.;ACTIVO;HABIDO;-12.0264;-76.9214;;9; ; ;Decil 2;107
20612068675;MAGNUM SECURITY GROUP S.A.C.;ACTIVO;HABIDO;-12.03;-77.0575;;9; ; ;Decil 2;108
20603565275;AVANLAB PERU S.A.C.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;9;Validado;Vigente;Decil 2;109
20604371768;ARTESAN CAFE S.A.C.;ACTIVO;HABIDO;-12.1769;-77.0164;PEQUEÑA EMPRESA;9; ; ;Decil 2;110
20605562486;J & C PERUVIAN BUSINESS E.I.R.L.;ACTIVO;HABIDO;-11.0967;-77.595;PEQUEÑA EMPRESA;9; ; ;Decil 2;111
20612441198;INVERSIONES DEKIRU SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0781;-76.9167;;9; ; ;Decil 2;112
20609135124;TRANSPORTES JBG PERU S.A.C.;ACTIVO;HABIDO;-12.03;-77.0575;;9; ; ;Decil 2;113
20603236310;TURISMO M. BUS E.I.R.L.;ACTIVO;HABIDO;-12.03;-77.0575;;9; ; ;Decil 2;114
20603113544;TRANSPORTES ICHIBAN TUR E.I.R.L.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;9; ; ;Decil 2;115
20605318241;INVERSIONES DELIZ S.A.C.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;9;Validado;Vigente;Decil 2;116
20604197148;INDUSTRIA TEXTIL DON CLEMENTE S.A.C.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;9;Validado;Vigente;Decil 2;117
20606998181;COMERCIALIZADORA POSTRES Y MAS SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;118
20612095320;FINA FASHION S.R.L.;ACTIVO;HABIDO;-12.0439;-76.9714;;9; ; ;Decil 2;119
20608782975;LEGEND PLAY SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.1072;-76.9989;PEQUEÑA EMPRESA;9; ; ;Decil 2;120
20609748410;EDUFARMA PERU SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-11.9572;-77.0494;;9; ; ;Decil 2;121
20604192821;DERMA HEALTH SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;9; ; ;Decil 2;122
20609493071;AVALEZA S.A.;ACTIVO;HABIDO;-10.6747;-77.8181;MEDIANA EMPRESA;9; ; ;Decil 2;123
20603300824;CORPORACION SANTAGUSTINA E.I.R.L.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;9; ; ;Decil 2;124
20603532873;TOURS SANCHEZ E.I.R.L.;ACTIVO;HABIDO;-12.1636;-76.9636;;9; ; ;Decil 2;125
20603567693;TWMKT S.A.C.;ACTIVO;HABIDO;-12.0589;-77.0461;PEQUEÑA EMPRESA;9; ; ;Decil 2;126
20602021875;REPRESENTACIONES Y SERVICIOS CONSALUD E.I.R.L.;ACTIVO;HABIDO;-12.0844;-77.0303;;9; ; ;Decil 2;127
20547868839;IMPORTACIONES KARINA HNOS E.I.R.L.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;128
20524556261;JORGE TOY'S EIRL;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;129
20601657121;BECAV E.I.R.L.;ACTIVO;HABIDO;-12.065;-77.0308;;9; ; ;Decil 2;130
20601443156;GAROC PERU S.A.C.;ACTIVO;HABIDO;-12.0978;-77.0272;PEQUEÑA EMPRESA;9; ; ;Decil 2;131
20601054079;PILCO GROUP E.I.R.L.;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;132
20550676355;J & N IMPORT S.A.C.;ACTIVO;HABIDO;-12.0453;-77.0308;;9; ; ;Decil 2;133
20573834454;GRUPO FAVEGO SOCIEDAD ANONIMA CERRADA - GRUPO FAVEGO S.A.C.;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;134
20566481783;CENTRO DE INSPECCIONES TECNICAS VEHICULARES JARDEL PERU S.A.C.;ACTIVO;NO HABIDO;-12.03;-77.0575;PEQUEÑA EMPRESA;9; ; ;Decil 2;135
20602696040;JOZ CLEAN SOCIEDAD ANÓNIMA CERRADA - JOZ CLEAN S.A.C.;ACTIVO;HABIDO;-12.1217;-77.0292;;9;Validado;Vigente;Decil 2;136
20518076184;BFS PERU S.A.C.;ACTIVO;HABIDO;-12.0978;-77.0272;PEQUEÑA EMPRESA;9; ; ;Decil 2;137
20602669760;ACABADOS LOS ANGELES E.I.R.L.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;138
20450372669;ESDACOM E.I.R.L.;ACTIVO;HABIDO;-11.9572;-77.0494;PEQUEÑA EMPRESA;9; ; ;Decil 2;139
20486039800;DISERVICE S.R.L.;ACTIVO;HABIDO;-12.0917;-77.0672;PEQUEÑA EMPRESA;9; ; ;Decil 2;140
20601716519;SUPER DRYWALL E.I.R.L.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;9; ; ;Decil 2;141
20600734530;SUPER MELAMINA E.I.R.L.;ACTIVO;HABIDO;-12.145;-77.005;;9; ; ;Decil 2;142
20487054217;EMPRESA DE SERVICIOS GENERALES FORCE MIL PERU SOCIEDAD ANONIMA CERRADA - FORCE MIL PERU S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.0264;-76.9214;;9; ; ;Decil 2;143
20600155475;ENGLOBADOS E.I.R.L.;ACTIVO;HABIDO;-12.0453;-77.0308;;9; ; ;Decil 2;144
20568812809;INVERSIONES LIMPER S.A.C;ACTIVO;HABIDO;-12.1186;-77.0217;;9; ; ;Decil 2;145
20603014759;BH Y MB SOCIEDAD ANONIMA CERRADA - BH Y MB S.A.C.;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;9; ; ;Decil 2;146
20553862851;HERRAJES DEL SUR S.A.C.;ACTIVO;HABIDO;-12.2747;-76.8703;PEQUEÑA EMPRESA;9; ; ;Decil 2;147
20601767288;BIO BIO S.A.;ACTIVO;HABIDO;-11.7739;-77.1764;;9; ; ;Decil 2;148
20543102858;TURISMO PAUCARTAMBO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - TURISMO PAUCARTAMBO E.I.R.L.;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;9; ; ;Decil 2;149
20524278431;INVERSIONES CEA METALES E.I.R.L.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;9; ; ;Decil 2;150
20445511103;MARINES FORCE S.A.C.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;9; ; ;Decil 2;151
20543499391;PRINTER SUMINISTROS DEL PERU S.A.C. - PRINSUPE S.A.C.;ACTIVO;HABIDO;-12.2747;-76.8703;PEQUEÑA EMPRESA;9; ; ;Decil 2;152
20601761514;CAL & CEMENTO ALTOS ANDES S.A.;ACTIVO;HABIDO;-12.2133;-76.9372;;9; ; ;Decil 2;153
20600481321;PRODUCTOS FRUTTI DI CIELO E.I.R.L.;ACTIVO;HABIDO;-12.1625;-76.9436;;9; ; ;Decil 2;154
20602234232;R & S SERVICIOS GLOBAL S.A.C.;ACTIVO;HABIDO;-12.2133;-76.9372;PEQUEÑA EMPRESA;9; ; ;Decil 2;155
20600155815;TEN REN BUBBLE TEA S.A.C.;ACTIVO;HABIDO;-12.0978;-77.0272;MEDIANA EMPRESA;9; ; ;Decil 2;156
20548462828;ALSHIR GAMING S.A.C;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;9; ; ;Decil 2;157
20600552563;GAMING LAND S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;;9; ; ;Decil 2;158
20550368294;TRANSPORTES TSP TOUR EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - TRANSPORTES TSP TOUR E.I.R.L.;ACTIVO;HABIDO;-12.065;-77.0308;;9; ; ;Decil 2;159
20518816218;INVERSIONES V & P S.A.C;ACTIVO;HABIDO;-12.1769;-77.0164;PEQUEÑA EMPRESA;9; ; ;Decil 2;160
20557867806;ROJAS MOLINA EXPRESS SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0439;-76.9714;;9; ; ;Decil 2;161
20519777348;SABOR PERUANO DE EXPORTACION S.A.C.;ACTIVO;HABIDO;-12.1636;-76.9636;PEQUEÑA EMPRESA;9; ; ;Decil 2;162
20392739930;ETAO PROFESSIONAL SERVICES S.A.C. - ETAO S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.0756;-76.9936;;9; ; ;Decil 2;163
20477949941;SKIN-ART S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.1072;-76.9989;;9; ; ;Decil 2;164
20477414240;AGROTECNICA NUFOL E.I.R.L.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;9; ; ;Decil 2;165
20493407962;TRANSMAR CARGO E.I.R.L.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;9; ; ;Decil 2;166
20517664660;SUIZA PERUANA EXPRESS S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;;9; ; ;Decil 2;167
20601384958;EVEREST IMPORTACIONES S.A.C.;ACTIVO;HABIDO;-12.0439;-76.9714;;9; ; ;Decil 2;168
20600716507;Q'ORIANKA TOURS AGUILA DORADA E.I.R.L.;ACTIVO;HABIDO;-12.0589;-77.0461;;9; ; ;Decil 2;169
20600609603;GROUP PECECEL E.I.R.L.;ACTIVO;HABIDO;-11.9914;-77.0708;;9; ; ;Decil 2;170
20600483014;INVERSIONES G & ANDRE S.A.C.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;9; ; ;Decil 2;171
20557376144;SERVICIO Y TURISMO EXPRES VIA NACIONAL S.A.C.;ACTIVO;HABIDO;-11.9914;-77.0708;;9; ; ;Decil 2;172
20601212740;ATAO GROUP SAC;ACTIVO;HABIDO;-12.0781;-76.9167;;9; ; ;Decil 2;173
20573084439;ARMONIA CARGO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;ACTIVO;HABIDO;-12.0453;-77.0308;;9; ; ;Decil 2;174
20600375688;SOHARA SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0756;-77.0433;PEQUEÑA EMPRESA;9; ; ;Decil 2;175
